disasternumber,state,declarationtype,incidenttype,fydeclared,declarationdate,designated_area_count,declaration_delay_days,ongoing_at_declaration,declaration_year,declaration_month,declaration_quarter,declaration_weekday,declaration_season,previous_state_disasters,previous_incident_disasters,previous_state_incident_disasters,days_since_previous_state_disaster,days_since_previous_incident,totalobligated,log_totalobligated
1385,MT,DR,Severe Storm,2001,2001-07-07,3,34,0,2001,7,3,5,Summer,34,291,5,40.0,8.0,970883.22,13.785962502264985
1386,VA,DR,Severe Storm,2001,2001-07-12,10,4,1,2001,7,3,3,Summer,31,292,4,500.0,5.0,7388909.66,15.815490874751688
1387,TN,DR,Severe Storm,2001,2001-08-15,8,19,1,2001,8,3,2,Summer,35,293,10,285.0,34.0,3692730.25,15.1218769183732
1388,KY,DR,Severe Storm,2001,2001-08-15,20,19,1,2001,8,3,2,Summer,39,294,6,284.0,0.0,11677518.01,16.27317609927401
1389,DC,DR,Severe Storm,2001,2001-08-16,1,6,0,2001,8,3,3,Summer,6,295,5,364.0,1.0,737808.33,13.511440709768198
1390,OH,DR,Severe Storm,2001,2001-08-27,4,41,0,2001,8,3,0,Summer,33,296,9,335.0,11.0,5998762.14,15.607063862608538
1391,NY,DR,Fire,2001,2001-09-11,62,0,0,2001,9,3,1,Autumn,53,422,2,281.0,5.0,5102341006.0,22.35296529233918
3169,NJ,EM,Fire,2001,2001-09-19,21,8,0,2001,9,3,2,Autumn,24,424,0,322.0,7.0,90706969.09,18.32314475987253
1392,VA,DR,Terrorist,2001,2001-09-21,1,10,0,2001,9,3,4,Autumn,33,0,0,9.0,,4938627.14,15.412598146143642
1393,FL,DR,Coastal Storm,2001,2001-09-28,11,15,0,2001,9,3,4,Autumn,102,14,1,103.0,109.0,23156340.47,16.95777923057429
1394,NE,DR,Severe Storm,2002,2001-10-12,1,56,0,2001,10,4,4,Autumn,27,297,5,149.0,46.0,1414196.4999999998,14.162072790366809
1395,OK,DR,Severe Storm,2002,2001-10-25,3,16,0,2001,10,4,3,Autumn,59,298,10,118.0,13.0,1146338.86,13.952084694245643
1396,PR,DR,Severe Storm,2002,2001-11-28,13,21,0,2001,11,4,2,Autumn,20,299,1,196.0,34.0,4851268.98,15.394751080182925
1397,GU,DR,Earthquake,2002,2001-12-05,1,53,0,2001,12,4,2,Winter,9,19,0,1354.0,279.0,2451633.32,14.712265429516776
1398,MS,DR,Severe Storm,2002,2001-12-07,23,13,1,2001,12,4,4,Winter,42,300,16,169.0,9.0,5517079.4,15.523359365285955
1399,AL,DR,Severe Storm,2002,2001-12-07,19,13,0,2001,12,4,4,Winter,54,301,21,17.0,0.0,2343447.82,14.667134256976913
3170,NY,EM,Snowstorm,2002,2001-12-31,6,7,0,2001,12,4,0,Winter,54,84,11,111.0,265.0,16619808.6,16.62610589124894
1400,AR,DR,Severe Storm,2002,2002-01-24,20,40,1,2002,1,1,3,Winter,41,302,6,317.0,48.0,2251473.59,14.627095932850617
1401,OK,DR,Severe Ice Storm,2002,2002-02-01,45,2,1,2002,2,1,4,Winter,60,18,2,99.0,385.0,108846010.2,18.505444700049182
1402,KS,DR,Severe Ice Storm,2002,2002-02-06,35,8,1,2002,2,1,2,Winter,25,19,0,285.0,5.0,45044698.9,17.62316588581882
1403,MO,DR,Severe Ice Storm,2002,2002-02-06,43,8,1,2002,2,1,2,Winter,32,20,0,635.0,0.0,43824367.31,17.595700574748694
1404,NY,DR,Snowstorm,2002,2002-03-01,1,67,0,2002,3,1,4,Spring,55,85,12,60.0,60.0,5912940.02,15.592653900121054
1405,OR,DR,Severe Storm,2002,2002-03-12,5,33,0,2002,3,1,1,Spring,48,303,3,207.0,47.0,4814558.39,15.387155091239109
1406,VA,DR,Severe Storm,2002,2002-04-02,10,16,0,2002,4,2,1,Spring,38,304,5,33.0,21.0,6232385.77,15.64526992654534
1407,KY,DR,Severe Storm,2002,2002-04-04,37,18,0,2002,4,2,3,Spring,43,305,7,153.0,2.0,10952265.47,16.209056976370285
1408,TN,DR,Severe Storm,2002,2002-04-05,37,72,0,2002,4,2,4,Spring,38,306,11,142.0,1.0,7697251.16,15.856373960795732
1409,MD,DR,Tornado,2002,2002-05-01,3,3,0,2002,5,2,2,Spring,16,145,0,751.0,488.0,4282401.33,15.270024702148588
1410,WV,DR,Severe Storm,2002,2002-05-05,8,3,1,2002,5,2,6,Spring,36,307,4,170.0,30.0,15254509.77,16.54038580547771
1411,VA,DR,Severe Storm,2002,2002-05-05,15,7,0,2002,5,2,6,Spring,39,308,6,33.0,0.0,6677712.22,15.71428615456841
1412,MO,DR,Severe Storm,2002,2002-05-06,79,12,1,2002,5,2,0,Spring,33,309,8,89.0,1.0,35294624.17,17.37924124883748
1413,MI,DR,Flood,2002,2002-05-06,6,26,1,2002,5,2,0,Spring,28,664,8,481.0,343.0,4928089.09,15.410462065278393
1414,KY,DR,Severe Storm,2002,2002-05-07,39,10,1,2002,5,2,1,Spring,44,310,8,33.0,1.0,8254117.36,15.92622282890593
1416,IL,DR,Tornado,2002,2002-05-21,68,30,1,2002,5,2,1,Spring,39,146,8,377.0,20.0,15805470.77,16.57586675260111
1417,FM,DR,Typhoon,2002,2002-05-29,1,92,0,2002,5,2,2,Spring,15,34,11,1517.0,1617.0,1509686.69,14.227413359584716
1418,IN,DR,Severe Storm,2002,2002-06-13,31,46,0,2002,6,2,3,Summer,27,311,7,505.0,37.0,4667435.39,15.356120526024485
1419,MN,DR,Severe Storm,2002,2002-06-14,19,5,1,2002,6,2,4,Summer,45,312,11,13.0,1.0,26750178.05,17.102051724741834
1420,IA,DR,Flood,2002,2002-06-19,21,16,1,2002,6,2,2,Summer,34,665,21,413.0,44.0,5581545.03,15.534976362289957
1422,AZ,DR,Fire,2002,2002-06-25,5,7,1,2002,6,2,1,Summer,36,475,20,4.0,2.0,1467811.65,14.199283857396335
