disasternumber,totalnumberiaapproved,totalamountihpapproved,totalamounthaapproved,totalamountonaapproved,totalobligatedamountpa,totalobligatedamountcatab,totalobligatedamountcatc2g,totalobligatedamounthmgp,paloaddate,ialoaddate,disasternumber_filled,totalnumberiaapproved_filled,totalamountihpapproved_filled,totalamounthaapproved_filled,totalamountonaapproved_filled,totalobligatedamountpa_filled,totalobligatedamountcatab_filled,totalobligatedamountcatc2g_filled,totalobligatedamounthmgp_filled
2312,,,,,,,,,,,2312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1598,,,,,1993482.38,1025949.18,950776.43,0.0,2026-02-06,,1598,0.0,0.0,0.0,0.0,1993482.38,1025949.18,950776.43,0.0
1648,,,,,7012366.06,943817.7,5957663.65,375402.0,2026-02-06,,1648,0.0,0.0,0.0,0.0,7012366.06,943817.7,5957663.65,375402.0
1703,,,,,3337603.76,435292.86,2894410.76,423213.0,2026-02-06,,1703,0.0,0.0,0.0,0.0,3337603.76,435292.86,2894410.76,423213.0
1405,,,,,4796806.64,1194355.67,3609871.51,752279.0,2026-02-06,,1405,0.0,0.0,0.0,0.0,4796806.64,1194355.67,3609871.51,752279.0
4380,,,,,2996541.03,97652.86,2697689.82,30845.37,2026-02-06,,4380,0.0,0.0,0.0,0.0,2996541.03,97652.86,2697689.82,30845.37
5459,,,,,,,,0.0,,,5459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2339,,,,,,,,,,,2339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4220,,,,,6320816.79,11537.97,6304613.58,720273.38,2026-02-06,,4220,0.0,0.0,0.0,0.0,6320816.79,11537.97,6304613.58,720273.38
2688,,,,,1228860.77,274544.17,,0.0,2026-02-06,,2688,0.0,0.0,0.0,0.0,1228860.77,274544.17,0.0,0.0
1985,,,,,3490382.1,2796925.42,581688.68,405892.16,2026-02-06,,1985,0.0,0.0,0.0,0.0,3490382.1,2796925.42,581688.68,405892.16
4230,,,,,10965009.42,800893.75,9476630.46,1568836.6,2026-02-06,,4230,0.0,0.0,0.0,0.0,10965009.42,800893.75,9476630.46,1568836.6
1956,,,,,3990138.12,211695.1,3634367.37,728851.0,2026-02-06,,1956,0.0,0.0,0.0,0.0,3990138.12,211695.1,3634367.37,728851.0
4073,,,,,2914288.63,2893300.11,20988.52,102842.93,2026-02-06,,4073,0.0,0.0,0.0,0.0,2914288.63,2893300.11,20988.52,102842.93
4032,,,,,1995886.96,441160.24,1541625.37,300596.0,2026-02-06,,4032,0.0,0.0,0.0,0.0,1995886.96,441160.24,1541625.37,300596.0
4198,,,,,1609009.61,47468.58,1550629.74,110714.19,2026-02-06,,4198,0.0,0.0,0.0,0.0,1609009.61,47468.58,1550629.74,110714.19
2351,,,,,,,,,,,2351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2352,,,,,,,,,,,2352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992,,,,,1756346.8,900587.41,658196.23,306106.24,2026-02-06,,1992,0.0,0.0,0.0,0.0,1756346.8,900587.41,658196.23,306106.24
1879,,,,,12773947.54,112691.04,12518072.96,992229.0,2026-02-06,,1879,0.0,0.0,0.0,0.0,12773947.54,112691.04,12518072.96,992229.0
1275,,,,,5322523.58,2426827.39,2821849.55,853245.0,2026-02-06,,1275,0.0,0.0,0.0,0.0,5322523.58,2426827.39,2821849.55,853245.0
4325,,,,,15098468.62,2605736.36,12292687.83,1766204.25,2026-02-06,,4325,0.0,0.0,0.0,0.0,15098468.62,2605736.36,12292687.83,1766204.25
